combo,max_abs_err_mean,max_abs_err_max,mean_abs_err_mean,mean_abs_err_max,rel_max_mean,rel_max_max,rel_mean_mean,rel_mean_max,rmse_mean,rmse_max,cos_sim_mean,cos_sim_max
int4_b64/int8,1.497396e-02,1.562500e-02,1.465495e-03,1.476833e-03,3.341545e+03,4.065960e+03,1.177671e-01,1.241529e-01,1.915032e-03,1.927388e-03,9.998618e-01,9.998755e-01
int4_b32/int8,1.163737e-02,1.171875e-02,1.129122e-03,1.136614e-03,2.564013e+03,3.317894e+03,9.277755e-02,9.819332e-02,1.471640e-03,1.479223e-03,9.999139e-01,9.999226e-01
int4_b16/int8,8.870443e-03,9.765625e-03,8.948902e-04,9.003122e-04,2.044973e+03,2.488480e+03,7.484355e-02,7.862034e-02,1.166903e-03,1.172000e-03,9.999436e-01,9.999493e-01
mxfp4_b64/int8,3.076172e-02,3.190104e-02,4.154634e-03,4.171156e-03,8.275609e+03,9.508038e+03,3.182287e-01,3.331659e-01,5.249711e-03,5.269067e-03,9.991228e-01,9.991899e-01
mxfp4_b32/int8,2.457682e-02,2.669271e-02,3.226424e-03,3.241437e-03,6.363010e+03,7.674211e+03,2.486559e-01,2.604113e-01,4.091334e-03,4.108362e-03,9.994502e-01,9.994949e-01
mxfp4_b16/int8,1.904297e-02,1.985677e-02,2.350146e-03,2.362418e-03,4.556331e+03,5.471530e+03,1.843424e-01,1.922573e-01,2.992911e-03,3.006463e-03,9.996898e-01,9.997170e-01
nvfp4_b64/int8,8.483887e-03,8.789062e-03,8.082098e-04,8.133762e-04,2.021117e+03,2.573319e+03,6.785412e-02,7.116631e-02,1.062963e-03,1.067700e-03,9.999524e-01,9.999572e-01
nvfp4_b32/int8,6.429036e-03,7.161458e-03,7.053699e-04,7.093886e-04,1.735775e+03,2.519755e+03,5.982762e-02,6.288103e-02,9.298745e-04,9.363764e-04,9.999631e-01,9.999667e-01
nvfp4_b16/int8,5.900065e-03,6.510417e-03,6.347905e-04,6.384753e-04,1.539850e+03,1.972751e+03,5.415091e-02,5.651238e-02,8.417149e-04,8.490636e-04,9.999696e-01,9.999725e-01
